ken,population
Kyoto Fu,5381000
Kumamoto Ken,1318000
Kagawa Ken,1280000
Aichi Ken,2316000
Tochigi Ken,1034000
Niigata Ken,1125000
Kanagawa Ken,1928000
Yamagata Ken,2881000
Fukushima Ken,1954000
Ibaraki Ken,1941000
Ibaraki Ken,7143000
Okinawa Ken,6114000
Wakayama Ken,13044000
Nagasaki Ken,8967000
Akita Ken,2302000
Okinawa Ken,1059000
Fukuoka Ken,1146000
Gifu Ken,780000
Aomori Ken,830000
Osaka Fu,2083000
Nagano Ken,2008000
Oita Ken,3651000
Mie Ken,7298000
Hiroshima Ken,1793000
Hokkai Do,1397000
Hyogo Ken ,2569000
Chiba Ken,8678000
Saitama Ken,5468000
Tokyo To,1367000
Saga Ken,967000
Yamaguchi Ken,571000
Shizuoka Ken,692000
Iwate Ken,1907000
Fukui Ken,2801000
Ehime Ken,1397000
Nara Ken,760000
Shimane Ken,974000
Gunma Ken,1388000
Toyama Ken,735000
Tottori Ken,5046000
Tokushima Ken,831000
Kagoshima Ken,1380000
Yamanashi Ken,1785000
Kochi Ken,1163000
Miyazaki Ken,1110000
Ishikawa Ken,1662000
Shiga Ken,1411000
